Page,Edits,Editors,Views
"Умєров Рустем Енверович",54,34,127352
"Ukr.net",2,1,97183
"Україна",8,6,94568
"Кадиров Рамзан Ахматович",15,8,86347
"Нагірний Карабах",32,12,79264
"YouTube",1,1,76403
"Олекса Довбуш",14,6,71744
"Перша світова війна",3,2,71178
"Українська абетка",0,0,68208
"Десять заповідей",0,0,64720
"Довбуш (фільм)",20,14,61534
"OLX",0,0,56462
"Змієносець (знак зодіаку)",4,3,53539
"DeepStateMapLive",14,6,52753
"Карабаський конфлікт",26,17,51438
"День захисників і захисниць України",4,3,50865
"Гімн України",3,2,50673
"Facebook",3,3,49635
"Воздвиження Хреста Господнього",6,4,49018
"Нечуй-Левицький Іван Семенович",3,2,48746
"Російське вторгнення в Україну (з 2022)",64,14,48374
"Військові звання України",1,1,47442
"3-тя окрема штурмова бригада (Україна)",19,15,47050
"Буданов Кирило Олексійович",20,10,43913
"Українські січові стрільці",4,3,43353
"Збройні сили України",4,3,40148
"14-та гренадерська дивізія Ваффен-СС «Галичина»",4,3,39607
"Telegram",14,6,39382
"Карлес Пучдемон",0,0,39318
"Вишки Бойка",32,17,37934
"Кайдашева сім'я",0,0,37808
"Київ",25,8,37430
"Національна суспільна телерадіокомпанія України",9,5,37396
"Київська Русь",2,2,36300
"Просвітництво",1,1,35328
"Білокур Катерина Василівна",13,7,35002
"Українська мова",2,2,34920
"Радіо «Свобода»",0,0,34462
"Трипільська культура",0,0,34360
"Рівні організації живої матерії",4,4,34188
"Соколов Віктор Миколайович (адмірал)",64,36,34150
"Французька революція",2,1,34100
"Секс",1,1,33096
"Друга світова війна",8,4,33054
"Перехід церковних громад до ПЦУ",25,10,32677
"Біблія",7,5,32422
"Клименко Іван Петрович",21,4,32203
"Кузьма Скрябін",3,1,31921
"Франко Іван Якович",4,2,31575
"Приват24",0,0,31329
"Залужний Валерій Федорович",6,4,31287
"Маляр Ганна Василівна",16,13,31099
"Іскандер (ОТРК)",2,2,30882
"Хасидизм",2,2,30876
"Знаки зодіаку",0,0,30680
"Резніков Олексій Юрійович",58,14,29605
"Нагірно-Карабаська Республіка",46,26,29180
"Шевченко Тарас Григорович",12,4,28701
"ATACMS",2,2,28682
"Зеленський Володимир Олександрович",7,5,28619
"Instagram",2,2,28607
"Рош га-Шана",15,8,28475
"Леся Українка",2,2,28214
"Список українських жіночих імен",4,3,27767
"Тканина (біологія)",2,2,27312
"Географія",1,1,27097
"Львів",7,4,26681
"47-ма окрема механізована бригада (Україна)",3,2,26502
"Онікс (протикорабельна ракета)",3,3,26229
"Азербайджан",7,5,26187
"Маруся Чурай",0,0,25982
"Періодична система хімічних елементів",2,2,25741
"Європейський Союз",1,1,25533
"Військове звання",1,1,25517
"Meta Platforms",0,0,25422
"Волинська трагедія",10,4,25347
"Територіальний центр комплектування та соціальної підтримки",12,5,25289
"ChatGPT",2,2,25203
"Велика Британія",4,3,25044
"Юліанський календар",4,2,24871
"Польща",9,5,24736
"Організація Об'єднаних Націй",10,8,24423
"Список 250 найрейтинговіших фільмів IMDb",0,0,24324
"Шуфрич Нестор Іванович",9,5,24300
"НАТО",0,0,24285
"Умань",8,4,23914
"Англійська мова",3,3,23647
"Хронологія Першої світової війни",1,1,23611
"Нахман із Брацлава",1,1,23537
"Міф",5,4,23528
"Німеччина",12,9,23490
"Панас Мирний",1,1,23479
"Наполеон",21,11,23468
"Терористичний акт 11 вересня 2001 року",7,5,23323
"Ян Табачник",24,12,23305
"Сполучені Штати Америки",1,1,23262
"Путін Володимир Володимирович",9,5,23177
"Джонатан Свіфт",1,1,23163
"Вірменія",13,3,22933
"Природничі науки",2,1,22849
"Список українських чоловічих імен",?,?,22619
"Богдан Хмельницький",?,?,22567
"Shahed 136",?,?,22508
"Росія",?,?,22362
"Гунька Ярослав",?,?,22345
"Займенник",?,?,22174
"Історія України",?,?,21995
"Бандера Степан Андрійович",?,?,21976
"Десантно-штурмові війська України",?,?,21948
"Відзнаки Головнокомандувача Збройних сил України",?,?,21874
"Йоганн Вольфганг фон Гете",?,?,21863
"Список померлих 2023 року",?,?,21778
"Мандри Гуллівера",?,?,21612
"Перше навколосвітнє плавання",?,?,21608
"Балада",?,?,21535
"Мавка. Лісова пісня",?,?,21388
"Гомер",?,?,21279
"Веди",?,?,21262
"Григоріанський календар",?,?,21259
"Parimatch",?,?,21194
"Люблінська унія",?,?,21162
"Коломойський Ігор Валерійович",?,?,21123
"Ой у лузі червона калина",?,?,20922
"Стрельников Сергій Олександрович",?,?,20872
"Розстріляне відродження",?,?,20832
"С-400",?,?,20797
"Україна в Першій світовій війні",?,?,20784
"Список битв та військових операцій Першої світової війни",?,?,20736
"Паломництво хасидів до Умані",?,?,20704
"Перелік громад, що змінили церковну юрисдикцію з УПЦ (МП) на ПЦУ (2023)",?,?,20541
"Географічна карта",?,?,20524
"Північна Корея",?,?,20440
"Середньовіччя",?,?,20223
"Михайлове чудо",?,?,20191
"Герб України",?,?,20022
"Держава",?,?,19995
"Російсько-українська війна (з 2014)",?,?,19917
"АТБ-Маркет",?,?,19902
"Нідерланди",?,?,19843
"Фернан Магеллан",?,?,19794
"Операція «Вісла»",?,?,19727
"Христофор Колумб",?,?,19718
"Сухопутні війська Збройних сил України",?,?,19716
"Прометей",?,?,19542
"Різдво Пресвятої Богородиці",?,?,19534
"День працівників освіти",?,?,19256
"Клітина",?,?,19207
"Нікотин",?,?,19169
"Візантійська імперія",?,?,19134
"Вибори Президента України 2024",?,?,19133
"Прапор України",?,?,19070
"Усик Олександр Олександрович",?,?,19027
"Доба великих географічних відкриттів",?,?,18979
"Іванчук Андрій Володимирович",?,?,18907
"Одеса",?,?,18826
"Кузьменко Ольга Михайлівна",?,?,18819
"Козловський Ігор Анатолійович",?,?,18799
"Список країн Європейського Союзу",?,?,18684
"Список країн за формою правління",?,?,18637
"Нова пошта",?,?,18489
"Список держав та залежних територій Європи",?,?,18458
"Пригожин Євген Вікторович",?,?,18385
"Області України",?,?,18366
"Cosmolot",?,?,18227
"Роксолана",?,?,18125
"Робін Гуд",?,?,18109
"Карл I Великий",?,?,18035
"Українська повстанська армія",?,?,17885
"Список українських народних пісень",?,?,17831
"Епітелій",?,?,17795
"Атом",?,?,17742
"Івано-Франківськ",?,?,17602
"Бригада НГУ «Азов»",?,?,17557
"М'язова тканина",?,?,17539
"Холодна війна",?,?,17530
"Біологія",?,?,17508
"Легка атлетика",?,?,17475
"Союз Радянських Соціалістичних Республік",?,?,17436
"Франкське королівство",?,?,17397
"Історичне джерело",?,?,17348
"Повітряні сили Збройних сил України",?,?,17296
"Галицько-Волинське князівство",?,?,17237
"Тичина Павло Григорович",?,?,17220
"Українська Народна Республіка",?,?,17114
"Мистецтво",?,?,17096
"Зодіак",?,?,17060
"Вернадський Володимир Іванович",?,?,17025
"Канада",?,?,16986
"Програмне забезпечення",?,?,16942
"Шевченко Андрій Миколайович",?,?,16940
"5-та окрема штурмова бригада (Україна)",?,?,16925
"Сполучна тканина",?,?,16917
"Франція",?,?,16908
"Порошенко Петро Олексійович",?,?,16873
"Грушевський Михайло Сергійович",?,?,16841
"Субкультура",?,?,16824
"Річ Посполита",?,?,16819
"Причини Першої світової війни",?,?,16793
"Союз визволення України",?,?,16775
"Лисиця звичайна",?,?,16762
"Есе",?,?,16728
"Дніпро (місто)",?,?,16716
"Ілон Маск",?,?,16710
"Кривий Ріг",?,?,16693
"Галицька битва",?,?,16690
"Функції мови",?,?,16569
"Операційна система",?,?,16550
"Покрова Пресвятої Богородиці",?,?,16487
"Геракл",?,?,16350
"Кіт свійський",?,?,16200
"Нервова тканина",?,?,16119
"Данілов Олексій Мячеславович",?,?,16086
"Війна на сході України",?,?,16079
"Список абревіатур і скорочень з військової справи",?,?,16063
"Олімпійські ігри",?,?,16052
"Сухопутна військова техніка України",?,?,16049
"Брусиловський прорив",?,?,16028
"Марко Вовчок",?,?,16007
"Список слов'янських богів",?,?,16005
"Головне управління розвідки Міністерства оборони України",?,?,15994
"Кропивницький",?,?,15871
"Ведмідь бурий",?,?,15865
"Прикметник",?,?,15865
"Білки",?,?,15825
"Storm Shadow",?,?,15807
"Прислівник",?,?,15793
"Вірус",?,?,15790
"Вовк",?,?,15769
"Римська імперія",?,?,15751
"Натуральне число",?,?,15730
"Військовозобов'язаний",?,?,15699
"Марокко",?,?,15668
"Українські прізвища",?,?,15660
"Список країн світу",?,?,15639
"Список країн Європи за площею",?,?,15602
"Індія",?,?,15529
"Фольклор",?,?,15492
"Список фізичних величин",?,?,15482
"Інформація",?,?,15477
"Сюрстремінг",?,?,15464
"Обрядові та обрядово-календарні пісні",?,?,15455
"День батька",?,?,15392
"Білецький Андрій Євгенійович",?,?,15339
"Лемюель Гулівер",?,?,15300
"Орден «За мужність»",?,?,15212
"Збірна України з футболу",?,?,15205
"Історія української мови",?,?,15200
"Харків",?,?,15172
"Ромашка лікарська",?,?,15148
"Список Героїв України",?,?,15119
"Ліцензія на програмне забезпечення",?,?,15116
"Коломийка",?,?,15087
"Опришки",?,?,15084
"Швейцарія",?,?,15061
"Сили спеціальних операцій Збройних сил України",?,?,15047
"Штучний інтелект",?,?,14937
"Військово-облікова спеціальність",?,?,14920
"Комп'ютер",?,?,14891
"Данте Аліг'єрі",?,?,14879
"Наєв Сергій Іванович",?,?,14867
"Одіссея",?,?,14817
"Іван Сірко",?,?,14788
"Михайль Семенко",?,?,14769
"Список хімічних елементів",?,?,14723
"Comfy",?,?,14708
"Heart of stone",?,?,14687
"Фразеологізм",?,?,14645
"Кліщіївка",?,?,14622
"Ізраїль",?,?,14611
"Адольф Гітлер",?,?,14600
"Материк",?,?,14568
"Хіба ревуть воли, як ясла повні?",?,?,14506
"Бахмут",?,?,14466
"Словосполучення",?,?,14464
"Володимир Святославич",?,?,14450
"Західний фронт (Перша світова війна)",?,?,14439
"95-та окрема десантно-штурмова бригада (Україна)",?,?,14411
"Список кодів МКХ-10",?,?,14407
"Список країн за ВВП (номінал)",?,?,14390
"Соціальна мережа",?,?,14279
"Українці",?,?,14277
"Карпачов Дмитро Вільямович",?,?,14270
"Кишковопорожнинні",?,?,14266
"Лептоспіроз",?,?,14261
"Список президентів України",?,?,14200
"Антанта",?,?,14187
"Список країн за індексом людського розвитку",?,?,14163
"Костянтинівка",?,?,14162
"Нептун (крилата ракета)",?,?,14132
"Національна поліція України",?,?,14052
"Сексуальна освіта (серіал, 2019)",?,?,14040
"Італія",?,?,14036
"82-га окрема десантно-штурмова бригада (Україна)",?,?,14030
"Тимчасово окуповані території України",?,?,14024
"Пін-ап",?,?,14016
"Головна українська рада",?,?,13970
"Голодомор в Україні (1932—1933)",?,?,13955
"Слов'яни",?,?,13904
"YAKTAK",?,?,13830
"С-300",?,?,13827
"Історія",?,?,13819
"Кам'янець-Подільський",?,?,13760
"Амброзія (рослина)",?,?,13746
"Pinterest",?,?,13728
"Таблиця математичних символів",?,?,13717
"Легіонельоз",?,?,13696
"Калібр (ракета)",?,?,13670
"Населення України",?,?,13649
"Реєстраційний номер облікової картки платника податків",?,?,13631
"Парламентські вибори в Польщі 2023",?,?,13625
"Софійський собор (Київ)",?,?,13575
"Інформаційна система",?,?,13542
"Адаптація",?,?,13498
"Кріштіану Роналду",?,?,13494
"Українські народні пісні",?,?,13420
"Океан",?,?,13403
"Код ЄДРПОУ",?,?,13374
"Герой України",?,?,13373
"Відродження",?,?,13362
"68-ма окрема єгерська бригада (Україна)",?,?,13361
"Національна гвардія України",?,?,13360
"Норвегія",?,?,13359
"Юрик (фільм)",?,?,13359
"Ланцет (баражуючий боєприпас)",?,?,13347
"Велике князівство Литовське",?,?,13330
"Органела",?,?,13322
"Тварини",?,?,13320
"Васко да Гама",?,?,13294
"ПриватБанк",?,?,13254
"Інформаційні технології",?,?,13250
"Костенко Ліна Василівна",?,?,13246
"Жінки в Першій світовій війні",?,?,13222
"Румунія",?,?,13221
"Конституція України",?,?,13207
"Вінниця",?,?,13146
"Синонім",?,?,13106
"Чорноморський флот ВМФ Росії",?,?,13103
"Ярослав Мудрий",?,?,13075
"Єрмак Андрій Борисович",?,?,13068
"Генерал-лейтенант",?,?,13064
"14/88",?,?,13031
"Структура Збройних сил України",?,?,13027
"72-га окрема мотострілецька бригада (РФ)",?,?,13009
"Верденська битва",?,?,12983
"Російська імперія",?,?,12981
"Віра, Надія, Любов та матір їх Софія",?,?,12938
"Українська Радянська Соціалістична Республіка",?,?,12902
"Втрати силових структур внаслідок російського вторгнення в Україну",?,?,12889
"Варварські королівства",?,?,12877
"21 вересня",?,?,12819
"ASCII",?,?,12771
"Земля",?,?,12751
"Нарукавні знаки Збройних сил України",?,?,12746
"Селім II",?,?,12718
"Хлодвіг",?,?,12682
"Таблиця дільників",?,?,12671
"Японія",?,?,12647
"Троїстий союз",?,?,12637
"Філософія",?,?,12617
"Наслідки Першої світової війни",?,?,12604
"Дніпро",?,?,12578
"Хрещення Русі",?,?,12572
"Ліонель Мессі",?,?,12535
"Відкриття Америки Колумбом",?,?,12500
"1 жовтня",?,?,12499
"Google",?,?,12459
"Верховна Рада України",?,?,12459
"Ан-225 «Мрія»",?,?,12457
"Націонал-соціалізм",?,?,12450
"Ужгород",?,?,12446
"Людина",?,?,12409
"Українські соціально-побутові пісні",?,?,12396
"Орден «За заслуги» (Україна)",?,?,12374
"Ольга (княгиня)",?,?,12354
"Карпати",?,?,12352
"Бригада (військова справа)",?,?,12343
"Австралія",?,?,12337
"Картографічна проєкція",?,?,12309
"Майкл Гембон",?,?,12287
"Іспанія",?,?,12282
"Піраміда потреб Абрагама Маслоу",?,?,12259
"Мі-8",?,?,12248
"Римська система числення",?,?,12242
"Арахамія Давид Георгійович",?,?,12235
"93-тя окрема механізована бригада «Холодний Яр»",?,?,12225
"Бабин Яр",?,?,12198
"Скіфи",?,?,12196
"Міста України (список)",?,?,12172
"Модерн (мистецтво)",?,?,12165
"Терези (знак зодіаку)",?,?,12138
"Культура",?,?,12132
"Сирський Олександр Станіславович",?,?,12122
"Святослав Ігорович",?,?,12108
"Інформаційна безпека",?,?,12102
"Екологія",?,?,12077
"Гетьманщина",?,?,12072
"Кирило-Мефодіївське товариство",?,?,12063
"Ґ",?,?,12043
"80-та окрема десантно-штурмова бригада (Україна)",?,?,12012
"Комп'ютерний вірус",?,?,12005
"72-га окрема механізована бригада (Україна)",?,?,11991
"Первісна культура",?,?,11971
"Демократія",?,?,11968
"Балістична ракета",?,?,11961
"МіГ-29",?,?,11959
"Австрія",?,?,11938
"Козаки",?,?,11936
"Гривня",?,?,11918
"МіГ-31",?,?,11912
"Південна Корея",?,?,11886
"Президентські вибори у США 2024",?,?,11849
"One Piece",?,?,11841
"Чернівці",?,?,11828
"Головний військовий клінічний госпіталь імені М. Н. Бурденка",?,?,11821
"Сулейман I",?,?,11815
"Барбі (фільм)",?,?,11804
"112-та окрема бригада територіальної оборони (Україна)",?,?,11791
"Надзвичайна ситуація",?,?,11789
"Список країн за площею",?,?,11743
"Prom.ua",?,?,11742
"Тризуб",?,?,11728
"77-ма окрема аеромобільна бригада (Україна)",?,?,11721
"Сталін Йосип Віссаріонович",?,?,11705
"Говерла",?,?,11685
"Ліпіди",?,?,11682
"Міжнародний день миру",?,?,11642
"Хмельницький",?,?,11632
"Сільпо (торговельна мережа)",?,?,11630
"General Dynamics F-16 Fighting Falcon",?,?,11616
"Вода",?,?,11615
"Ліга чемпіонів УЄФА",?,?,11598
"Арестович Олексій Миколайович",?,?,11598
"Коцюбайло Дмитро Іванович",?,?,11566
"Мая (цивілізація)",?,?,11565
"Міжнародна система одиниць (SI)",?,?,11554
"AUTO.RIA",?,?,11554
"Бельгія",?,?,11545
"Олег Віщий",?,?,11525
"Словаччина",?,?,11490
"Вуглеводи",?,?,11455
"Сонячна система",?,?,11453
"Стус Василь Семенович",?,?,11453
"Червінський Роман Григорович",?,?,11434
"Нервова система",?,?,11410
"Методи біологічних досліджень",?,?,11407
"Фізика",?,?,11399
"Російське вторгнення в Україну (2022)",?,?,11380
"Велике переселення народів",?,?,11375
"Прислів'я",?,?,11339
"Молдова",?,?,11334
"Коран",?,?,11331
"Античність",?,?,11313
"Однорідні члени речення",?,?,11308
"Економіка України",?,?,11296
"Періодизація історії",?,?,11289
"Пес свійський",?,?,11286
"Орден Богдана Хмельницького (Україна)",?,?,11266
"Угорщина",?,?,11264
"Асока (серіал)",?,?,11230
"Б-237 «Ростов-на-Дону»",?,?,11215
"Берестейська унія",?,?,11176
"Пивоваров Артем Володимирович",?,?,11172
"Албанія",?,?,11157
"Величне століття. Роксолана",?,?,11115
"Маріуполь",?,?,11098
"Ранній новий період",?,?,11045
"Рудницький Степан Львович",?,?,11044
"Нікітюк Леся Іванівна",?,?,11040
"Кім Чен Ин",?,?,11026
"Google Classroom",?,?,11019
"Індіана Джонс і реліквія долі",?,?,11018
"Ісус Христос",?,?,11005
"Топографічна карта",?,?,10985
"Тіна Кароль",?,?,10965
"Категорії придатності до військової служби",?,?,10957
"Юдаїзм",?,?,10955
"Європа",?,?,10939
"Східні слов'яни",?,?,10915
"S",?,?,10901
"Хімія",?,?,10885
"Stray Kids",?,?,10883
"Пулюй Іван Павлович",?,?,10863
"Шухевич Роман Осипович",?,?,10861
"Ферменти",?,?,10859
"Ірландія",?,?,10857
